Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,12424,11,6,13,18,49,2,3030,0.00%,4.1,29.3
http://192.168.8.17/eayun-ecsc/#/sys/login,12424,8,3,7,11,47,1,3012,0.00%,4.1,29.0
http://192.168.8.17/eayun-ecsc/sys/login/login.do,12424,2353,2004,4050,5270,8184,49,20675,0.00%,4.1,1.9
http://192.168.8.17/eayun-ecsc/views/main.html,12420,8,3,8,14,53,1,3017,0.00%,4.1,28.6
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,12420,2146,1895,3620,4602,7199,12,14464,0.00%,4.1,5.7
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,12407,1805,1620,3113,3799,5831,8,20999,0.01%,4.1,.7
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,12402,1820,1678,3083,3745,5468,7,14340,0.00%,4.1,.7
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,12392,1745,1602,2985,3570,5144,9,21002,0.01%,4.1,53.1
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,12387,1752,1621,2987,3643,5172,5,12059,0.00%,4.1,.7
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,12381,1793,1658,3116,3702,5404,9,14967,0.00%,4.1,2.0
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,12364,10,4,11,15,43,2,4401,0.00%,4.1,.8
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,12364,10,3,9,13,209,1,3050,0.00%,4.1,4.4
http://192.168.8.17/eayun-ecsc/#/app,12364,15,3,9,14,424,1,4553,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/overview,12364,13,3,9,13,411,1,3006,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,12364,9,3,8,12,205,1,4247,0.00%,4.1,1.1
http://192.168.8.17/eayun-ecsc/#/app/cloud,12364,13,3,9,13,424,1,4248,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,12364,12,3,9,13,253,1,3006,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,12364,12,3,9,13,244,1,4252,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,12364,8,3,8,12,136,1,3039,0.00%,4.1,2.5
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,12364,16,3,8,13,421,1,21005,0.01%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,12364,16,3,8,13,433,1,3057,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,12364,13,3,8,13,423,1,3013,0.00%,4.1,12.8
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,98594,15,3,8,13,428,1,21002,0.00%,32.9,95.8
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,12364,13,3,8,13,419,1,4329,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,24688,1782,1670,3031,3659,5260,5,20998,0.00%,8.2,18.5
http://192.168.8.17/eayun-ecsc/views/net/main.html,12357,17,3,9,14,502,1,3045,0.00%,4.1,6.9
http://192.168.8.17/eayun-ecsc/views/directives/select.html,49292,8,3,8,13,208,0,10191,0.00%,16.5,18.1
http://192.168.8.17/eayun-ecsc/#/app/net,12357,15,3,9,14,418,1,7252,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,12357,15,3,9,13,430,1,4734,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,12357,15,3,9,14,429,1,4553,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,12357,1828,1688,3098,3786,5933,6,20998,0.01%,4.1,2.4
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,12346,9,3,10,14,218,1,1624,0.00%,4.1,1.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,12346,16,3,9,14,437,1,21002,0.01%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,24670,17,3,10,15,453,1,4359,0.00%,8.2,57.7
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,12346,15,3,9,13,430,1,4316,0.00%,4.1,20.0
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,12346,1732,1619,2962,3518,5476,4,14307,0.00%,4.1,.9
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,12339,1665,1582,2883,3422,4707,8,12504,0.00%,4.1,1.5
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,12332,15,3,10,15,225,0,21000,0.01%,4.1,1.4
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,12332,1646,1566,2899,3382,4457,6,21000,0.01%,4.1,2.4
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,12324,20,4,11,16,659,1,4438,0.00%,4.1,28.8
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,12324,10,3,9,13,215,1,4246,0.00%,4.1,3.1
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,12324,16,3,9,14,440,1,3042,0.00%,4.1,28.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,12324,15,3,9,14,433,1,3658,0.00%,4.1,28.8
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/member/membermng.html,12324,16,3,9,13,449,1,4769,0.00%,4.1,12.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/member,12324,15,3,9,14,439,1,6886,0.00%,4.1,28.8
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/healthmonitor/monitormng.html,12324,15,3,9,13,438,1,3000,0.00%,4.1,12.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/healthmonitor,12324,18,3,9,14,493,1,4464,0.00%,4.1,28.8
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/vip/vipmng.html,12324,15,3,9,13,420,1,20998,0.01%,4.1,14.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/vip,12324,16,3,9,14,435,1,20997,0.01%,4.1,28.8
http://192.168.8.17/eayun-ecsc/views/net/floatip/floatmng.html,12324,12,3,8,13,437,1,4328,0.00%,4.1,8.5
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/floatip,12324,14,3,9,13,425,1,3007,0.00%,4.1,28.8
http://192.168.8.17/eayun-ecsc/views/safety/safetymain.html,12319,17,3,10,14,606,1,3016,0.00%,4.1,6.4
http://192.168.8.17/eayun-ecsc/#/app/safety,12319,18,3,9,14,538,1,4461,0.00%,4.1,28.8
