Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,1925,26,6,21,28,447,2,4317,0.00%,6.4,45.5
http://192.168.8.17/eayun-ecsc/#/sys/login,1925,90,4,21,652,1598,1,4644,0.00%,6.4,45.0
http://192.168.8.17/eayun-ecsc/sys/login/login.do,1925,2774,2469,5199,6098,7431,52,8367,0.00%,6.4,3.0
http://192.168.8.17/eayun-ecsc/views/main.html,1913,25,3,13,17,831,1,3013,0.00%,6.4,44.3
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,1913,1545,1023,3579,4217,6532,8,9653,0.00%,6.4,8.7
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,1911,1218,786,3052,3730,6282,6,7083,0.00%,6.4,1.0
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,1907,1169,764,2939,3831,5483,5,10625,0.00%,6.4,1.1
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,3663,1243,831,3125,3591,5402,8,21146,0.03%,12.4,158.9
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,1882,973,569,2602,3410,5144,5,6913,0.00%,6.4,1.0
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,1871,979,561,2720,3376,5419,6,7076,0.00%,6.3,3.0
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,1868,23,7,16,22,315,1,4368,0.00%,6.4,1.2
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,1868,21,6,13,20,222,1,4511,0.00%,6.4,6.7
http://192.168.8.17/eayun-ecsc/#/app,1868,56,6,19,241,1124,1,4198,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/#/app/overview,1868,40,6,17,226,857,1,4621,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,1868,18,6,11,15,224,1,4189,0.00%,6.4,1.7
http://192.168.8.17/eayun-ecsc/#/app/cloud,1868,44,6,15,227,1016,1,4483,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,1868,35,6,15,223,852,1,2137,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,1868,29,6,16,31,691,1,2740,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,1868,16,6,11,15,218,0,3033,0.00%,6.4,3.8
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,1868,43,6,16,228,921,1,3137,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,1868,39,6,16,225,856,1,4277,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,1868,22,5,11,16,633,1,1591,0.00%,6.4,19.8
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,14669,33,6,13,24,864,1,4810,0.00%,50.2,145.7
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,1868,36,5,16,225,865,1,2029,0.00%,6.4,44.7
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,3700,880,578,2249,3137,4986,8,6905,0.00%,12.5,28.1
http://192.168.8.17/eayun-ecsc/views/net/main.html,1865,45,6,14,100,1096,1,3862,0.00%,6.4,10.6
http://192.168.8.17/eayun-ecsc/views/directives/select.html,7338,17,6,12,15,224,0,3070,0.00%,25.1,27.5
http://192.168.8.17/eayun-ecsc/#/app/net,1865,60,7,18,236,950,1,9007,0.00%,6.4,44.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,1865,32,6,15,30,856,1,3105,0.00%,6.4,44.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,1865,45,6,15,31,858,1,10231,0.00%,6.4,44.6
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,1865,945,591,2439,3120,5109,10,8980,0.00%,6.3,3.7
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,1858,32,6,13,17,629,1,6009,0.00%,6.4,2.0
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,1858,52,6,18,249,893,1,4500,0.00%,6.4,44.5
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,3690,41,7,17,228,881,1,3006,0.00%,12.6,88.3
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,1858,30,6,14,19,662,1,3011,0.00%,6.4,30.8
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,1858,898,514,2443,3270,4658,6,10786,0.00%,6.3,1.3
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,1845,802,435,2036,3107,4810,9,14019,0.00%,6.3,2.2
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,1838,34,7,15,20,1062,0,4599,0.00%,6.3,2.1
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,1838,706,438,1761,2522,4242,7,8677,0.00%,6.2,3.6
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,1832,65,8,35,417,1103,1,10496,0.00%,6.3,43.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,1832,16,7,11,14,219,1,3002,0.00%,6.3,4.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,1832,70,7,20,438,1288,1,5210,0.00%,6.3,43.9
