Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,13396,13,5,11,17,65,1,21003,0.01%,3.7,26.4
http://192.168.8.17/eayun-ecsc/#/sys/login,13396,12,3,7,12,214,1,2374,0.00%,3.7,26.0
http://192.168.8.17/eayun-ecsc/sys/login/login.do,13396,2851,2281,5384,7069,9914,98,15842,0.00%,3.7,1.7
http://192.168.8.17/eayun-ecsc/views/main.html,13388,7,3,7,15,58,1,1876,0.00%,3.7,25.7
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,13388,2595,2166,4661,6292,8813,8,16524,0.00%,3.7,5.1
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,13373,2098,1775,3840,4714,7482,6,13648,0.00%,3.7,.6
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,13372,1988,1748,3564,4437,6707,4,14175,0.00%,3.7,.6
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,13358,1928,1678,3522,4323,6552,7,21001,0.01%,3.7,47.7
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,13334,1957,1698,3571,4436,7079,6,20998,0.01%,3.7,.6
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,13326,2025,1754,3746,4615,7197,8,20993,0.01%,3.7,1.8
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,13314,10,4,9,14,38,1,21005,0.02%,3.7,.7
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,13314,6,2,7,11,34,1,4065,0.00%,3.7,3.9
http://192.168.8.17/eayun-ecsc/#/app,13314,10,3,8,11,217,1,4459,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/overview,13314,9,3,8,11,113,1,1997,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,13314,5,2,7,10,28,0,3038,0.00%,3.7,1.0
http://192.168.8.17/eayun-ecsc/#/app/cloud,13314,8,3,7,10,88,1,1699,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,13314,8,3,8,11,65,1,4565,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,13314,9,3,8,11,63,1,4616,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,13314,5,2,7,10,28,0,4586,0.00%,3.7,2.2
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,13314,8,3,7,10,53,1,1767,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,13314,7,3,8,11,47,1,4620,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,13314,7,3,7,10,41,1,3058,0.00%,3.7,11.5
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,106175,9,3,8,11,64,0,20998,0.00%,29.6,85.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,13314,9,3,7,11,101,1,4565,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,26583,1938,1713,3605,4332,6282,6,12414,0.00%,7.4,16.6
http://192.168.8.17/eayun-ecsc/views/net/main.html,13312,9,3,8,12,45,0,3102,0.00%,3.7,6.2
http://192.168.8.17/eayun-ecsc/views/directives/select.html,53092,5,2,7,10,29,1,4043,0.00%,14.8,16.3
http://192.168.8.17/eayun-ecsc/#/app/net,13312,10,3,8,12,209,1,3902,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,13312,8,3,8,12,68,1,1691,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,13312,8,3,8,11,50,1,4639,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,13312,1980,1734,3689,4403,6486,8,21001,0.01%,3.7,2.2
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,13306,6,2,8,12,36,0,4152,0.00%,3.7,1.2
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,13306,11,3,8,13,221,1,4291,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,26577,11,3,9,13,228,1,4607,0.00%,7.4,51.8
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,13306,9,3,8,11,53,1,4359,0.00%,3.7,17.9
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,13306,1856,1656,3463,4086,6037,4,16470,0.00%,3.7,.8
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,13291,1749,1557,3329,4007,5626,6,14198,0.00%,3.7,1.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,13283,8,3,9,13,45,0,4078,0.00%,3.7,1.3
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,13283,1730,1529,3343,4029,5493,5,14462,0.00%,3.7,2.1
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,13271,16,3,10,15,448,1,4561,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,13271,8,2,8,11,32,1,21064,0.01%,3.7,2.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,13271,16,3,9,13,433,1,20997,0.01%,3.7,25.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,13271,12,3,9,13,228,1,3033,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/member/membermng.html,13271,9,3,8,11,87,1,3537,0.00%,3.7,11.5
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/member,13271,13,3,9,13,236,1,4153,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/healthmonitor/monitormng.html,13271,9,3,8,11,73,1,2304,0.00%,3.7,11.5
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/healthmonitor,13270,13,3,9,13,235,1,4640,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/vip/vipmng.html,13270,8,3,8,11,61,1,2027,0.00%,3.7,13.1
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/vip,13270,11,3,9,13,226,1,2998,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/net/floatip/floatmng.html,13270,7,3,8,10,39,1,4393,0.00%,3.7,7.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/floatip,13270,12,3,9,13,226,1,4603,0.00%,3.7,25.9
http://192.168.8.17/eayun-ecsc/views/safety/safetymain.html,13263,10,3,8,12,60,0,4565,0.00%,3.7,5.7
http://192.168.8.17/eayun-ecsc/#/app/safety,13263,12,3,9,12,229,1,4208,0.00%,3.7,25.8
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar,13263,9,3,9,12,199,1,2300,0.00%,3.7,25.8
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/firewall,13263,11,3,8,11,71,1,20998,0.01%,3.7,25.8
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/firewall/fireWallList,13263,9,3,8,12,89,1,4460,0.00%,3.7,25.8
